"Access denied.","Truy cập bị từ chối."
"Client Session Timeout (sec.)","Client Session Timeout (sec.)"
"Default Response Charset","Default Response Charset"
"Email","Email"
"General Settings","Cài đặt chung"
"Invalid webservice adapter specified.","Invalid webservice adapter specified."
"Invalid webservice handler specified.","Invalid webservice handler specified."
"Magento Core API","Magento Core API"
"Magento Core API Section","Magento Core API Section"
"Roles","Vai trò"
"Unable to login.","Không thể đăng nhập."
"User Name","Tên người dùng"
"Users","Người dùng"
"WS-I Compliance","WS-I Compliance"
"Web Services","Web Services"
"Your account has been deactivated.","Tài khoản của bạn đã bị vô hiệu hóa."
