"Abandoned Carts","Giỏ hàng bị hủy"
"Abandoned carts","Giỏ hàng bị hủy"
"Action","Thao tác"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","So sánh"
"Add to Wishlist","Sản phẩm yêu thích"
"Any","Mọi"
"Applied Coupon","Đã có dùng mã giảm giá"
"Applies to Any of the Specified Order Statuses","Applies to Any of the Specified Order Statuses"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation."
"Are you sure?","Bạn chắc chứ?"
"Avg. Approved Rating","Avg. Approved Rating"
"Avg. Rating","TB. Đánh giá"
"Bestsellers","Sản phẩm mua nhiều"
"Bought from wishlists","Mua từ danh sách mong muốn"
"CSV","CSV"
"Carts","Giỏ hàng"
"Catalog Category (Without Subcategories)","Catalog Category (Without Subcategories)"
"Compared Products Grid Template","Compared Products Grid Template"
"Compared Products List Template","Compared Products List Template"
"Coupons","Mã giảm giá"
"Coupons Usage Report","Báo cáo sử dụng mã giảm giá"
"Created At","Đã tạo lúc"
"Current Month Starts","Current Month Starts"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Customer Tags","Tag của khách hàng"
"Customers","Khách hàng"
"Customers Report","Báo cáo Khách hàng"
"Customers Reviews","Nhận xét của khách hàng"
"Customers Tags","Tags của khách hàng"
"Customers by Number of Orders","Số khách hàng bởi số đơn hàng"
"Customers by Orders Total","Số khách hàng bởi tổng số đơn hàng"
"Customers by number of orders","Customers by number of orders"
"Customers by orders total","Customers by orders total"
"Customers that have wishlist: %s%","Customers that have wishlist: %s%"
"Dashboard","Màn hình chính"
"Day","Ngày"
"Default Recently Compared Products Count","Default Recently Compared Products Count"
"Default Recently Viewed Products Count","Default Recently Viewed Products Count"
"Description","Thông tin mô tả"
"Detail","Chi tiết"
"Downloads","Tải xuống"
"Email","Email"
"Empty Rows","Dòng rỗng"
"Excel XML","Excel XML"
"Filter","Bộ lọc"
"First Name","Tên"
"From","Từ"
"Guest","Khách"
"Hits","Tìm được"
"ID","ID"
"IP Address","Địa chỉ IP"
"Index model name must be defined","Index model name must be defined"
"Invalid date specified.","Invalid date specified."
"Invoiced","Đã lập hóa đơn"
"Items in Cart","Items in Cart"
"Last Name","Họ"
"Last Review","Đánh giá cuối cùng"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","List of Products Recently Compared and Removed from the Compare List by Visitor"
"List of Products Recently Viewed by Visitor","List of Products Recently Viewed by Visitor"
"Low Stock","Low Stock"
"Low stock","Low stock"
"Match Period To","Match Period To"
"Month","Tháng"
"Most Viewed","Most Viewed"
"Name","Tên"
"New Accounts","Tài khoản mới"
"No","Không"
"Number Added","Number Added"
"Number Fulfilled","Number Fulfilled"
"Number Of Reviews","Number Of Reviews"
"Number Purchased","Number Purchased"
"Number Viewed","Number Viewed"
"Number of Items","Number of Items"
"Number of New Accounts","Number of New Accounts"
"Number of Products to display","Number of Products to display"
"Number of Reviews","Number of Reviews"
"Number of Times Deleted","Number of Times Deleted"
"Number of Total Tags","Number of Total Tags"
"Number of Unique Tags","Number of Unique Tags"
"Number of Views","Number of Views"
"Number of items bought from a wishlist: %s","Number of items bought from a wishlist: %s"
"Number of times wishlists have been shared (emailed): %s","Number of times wishlists have been shared (emailed): %s"
"Number of wishlist conversions: %s","Number of wishlist conversions: %s"
"Number of wishlist referrals: %s","Number of wishlist referrals: %s"
"Number of wishlists: %s","Number of wishlists: %s"
"Order Status","Order Status"
"Order Taxes Report Grouped by Tax Rate","Order Taxes Report Grouped by Tax Rate"
"Orders","Đơn hàng"
"Out of Stock","Hết hàng"
"Period","Khoảng"
"Poducts Report","Poducts Report"
"Popular Tags","Popular Tags"
"Popularity","Popularity"
"Price","Giá"
"Product Name","Tên sản phẩm"
"Product Reviews","Đánh giá sản phẩm"
"Product SKU","SKU sản phẩm"
"Product Tags","Tags của sản phẩm"
"Products","Sản phẩm"
"Products Ordered","Sản phẩm đã bán"
"Products Report","Báo cáo về sản phẩm"
"Products Reviews","Đánh giá của sản phẩm"
"Products Tags","Tags của sản phẩm"
"Products in carts","Sản phẩm trong giỏ hàng"
"Purchases","Purchases"
"Quantity Ordered","Số lượng đã bán"
"Quantity of Items","Quantity of Items"
"Recently Compared","Mới đánh giá"
"Recently Compared Products","Mới đánh giá"
"Recently Viewed","Bạn vừa xem"
"Recently Viewed Products","Bạn vừa xem"
"Recently Viewed/Compared Products","Sản phẩm mới xem / Đánh giá"
"Refresh Lifetime Statistics","Refresh Lifetime Statistics"
"Refresh Statistics","Refresh Statistics"
"Refresh Statistics for the Last Day","Refresh Statistics for the Last Day"
"Refunds","Refunds"
"Report","Báo cáo"
"Reports","Báo cáo"
"Results","Kết quả"
"Revenue","Doanh thu"
"Review","Đánh giá"
"Reviews","Đánh giá"
"Reviews for %s","Đánh giá cho %s"
"Sales","Kinh doanh"
"Sales Report","Báo cáo kết quả kinh doanh"
"Search Query","Thông tin tìm kiếm"
"Search Terms","Nhu cầu tìm kiếm"
"Select day of the month.","Select day of the month."
"Shipping","Vận chuyển"
"Shopping Cart","Giỏ hàng"
"Shopping Cart Price Rule","Giảm giá cho giỏ hàng"
"Show Actual Values","Hiển thị giá trị trung bình"
"Show Report","Hiển thị báo cáo"
"Show for Current","Show for Current"
"Specified","Lựa chọn"
"Statistics","Thống kê"
"Stock Qty","Số lượng trong kho"
"Submitted In","Ghi nhận vào"
"Submitted On","Ghi nhận khi"
"Subtotal","Tổng tiền"
"Tag","Tag"
"Tag ""%s"" details","Chi tiết ""%s"" Tag"
"Tag Detail","Chi tiết Tag"
"Tag Name","Tên Tag"
"Tag Use","Tag Use"
"Tags Submitted by %s","Tags tạo bởi %s"
"Tags submitted to %s","Tags giao bởi %s"
"Tax","Thuế"
"Title","Tiêu đề"
"To","Tới"
"Total","Tổng cộng"
"Total Invoiced vs. Paid Report","Báo cáo tổng hóa đơn và thanh toán"
"Total Ordered Report","Báo cáo tổng hóa đơn"
"Total Refunded Report","Báo cáo tổng hoàn trả"
"Total Shipped Report","Báo cáo tổng giao hàng"
"Total Tags","Tổng số Tags"
"Total invoiced","Tổng đã thanh toán"
"Total refunded","Tổng hoàn trả"
"Updated At","Cập nhật lúc"
"Viewed Products Grid Template","Viewed Products Grid Template"
"Viewed Products List Template","Viewed Products List Template"
"Visible In","Hiện thị trong"
"Wishlist Report","Wishlist Report"
"Wishlist vs. Regular Order","Wishlist vs. Regular Order"
"Wishlists","Wishlists"
"Year","Năm"
"Year-To-Date Starts","Year-To-Date Starts"
"Yes","Đồng ý"
"Your Recently Compared","Your Recently Compared"
"Your Recently Viewed","Your Recently Viewed"
"undefined","undefined"
