"%d Review(s)","%d Nhận xét "
"%s Review(s)","%s Nhận xét"
"(Posted on %s)","(Viết ngày %s)"
"1 star","1 sao"
"2 stars","2 sao"
"3 stars","3 sao"
"4 stars","4 sao"
"5 stars","5 sao"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Thêm Nhận xét"
"Add Your Review","Nhận xét của bạn"
"Administrator","Quản trị viên"
"All Reviews","Toàn bộ Nhận xét"
"All Reviews of Customer `%s`","Đồng tất cả đánh giá của khách hàng `%s`"
"Allow Guests to Write Reviews","Đồng ý tất cả khách viết đánh giá"
"Are you sure you want to do this?","Bạn có chắc là muốn làm thế không?"
"Are you sure?","Bạn chắc chứ?"
"Average Customer Rating","Đánh giá trung bình của khách hàng"
"Average Customer Rating:","Đánh giá trung bình của khách hàng:"
"Back","Trở lại"
"Back to Main Product Info","Quay lại trang chi tiết sản phẩm"
"Back to My Reviews","Quay lại trang Nhận xét"
"Back to Product Reviews","Trở về trang đánh giá sản phẩm"
"Be the first to review this product","Nhận xét sản phẩm này"
"Catalog Product Review View","Đánh giá danh mục sản phẩm"
"Catalog Product Reviews List","Đánh giá danh sách danh mục sản phẩm"
"Created On","Đã tạo lúc"
"Customer","Khách hàng"
"Customer My Account Product Reviews","Tùy chỉnh nhận xét sản phẩm của tài khoản này"
"Customer My Account Review Details","Tùy chỉnh chi tiết nhận xét của tài khoản này"
"Customer Reviews","Nhận xét của khách hàng"
"Customers Reviews","Nhận xét của khách hàng"
"Delete","Xóa"
"Delete Review","Xóa nhận xét này"
"Detailed Rating","Detailed Rating"
"Edit Review '%s'","Sửa nhận xét này '%s'"
"Guest","Khách"
"How do you rate this product?","Bạn đánh giá sản phẩm này thế nào?"
"ID","ID"
"Manage Ratings","Quản lý đánh giá"
"My Product Reviews","Sản phẩm đã nhận xét"
"My Recent Reviews","Nhận xét gần đây"
"Name","Tên"
"Name in Store","Tên trong cửa hàng"
"New Review","Nhận xét mới"
"Nickname","Tên của bạn"
"Nickname can\'t be empty","Nickname can\'t be empty"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>"
"Pending Reviews","Pending Reviews"
"Pending Reviews of Customer `%s`","Pending Reviews of Customer `%s`"
"Please select a product","Hãy chọn một sản phẩm"
"Please select one of each of the ratings above","Please select one of each of the ratings above"
"Posted By","Đăng bởi"
"Price","Giá"
"Product","Sản phẩm"
"Product Name","Tên sản phẩm"
"Product Rating","Đánh giá của sản phẩm"
"Product Rating:","Đánh giá của sản phẩm:"
"Product Review (submitted on %s):","Đánh giá sản phẩm (gửi lúc  %s):"
"Product Reviews","Đánh giá sản phẩm"
"Product SKU","SKU sản phẩm"
"Products Reviews","Đánh giá của sản phẩm"
"Qty","SL"
"Rating:","Đánh giá:"
"Review","Xem lại"
"Review (submitted on %s):","Đánh giá (gửi lúc %s):"
"Review Details","Chi tiết đánh giá"
"Review Form Fields Before","Xem trước mẫu đánh giá"
"Review by <span>%s</span>","Người viết <span>%s</span>"
"Review can\'t be empty","Đánh giá không được để trống"
"Review summary can\'t be empty","Tổng hợp đánh giá không được trống"
"Reviews and Ratings","Nhận xét và đánh giá"
"SKU","SKU"
"Save Review","Lưu nhận xét"
"Status","Trạng thái"
"Submit Review", "Gửi nhận xét"
"Summary Rating","Tóm tắt xếp hạng"
"Summary of Review","Tóm tắt đánh giá"
"Summary of Your Review","Tiêu đề"
"Title","Tiêu đề"
"Type","Kiểu"
"Unable to post the review.","Không thể đăng nhận xét."
"Update Status","Cập nhật trạng thái"
"View All Reviews","Xem tất cả nhận xét"
"View Details","Xem chi tiết"
"Visible In","Hiện thị trong"
"Websites","Websites"
"Write Your Own Review","Viết nhận xét của bạn về sản phẩm này"
"You have submitted no reviews.","Bạn chưa có đánh giá nào."
"You're reviewing:","Nhận xét cho sản phẩm:"
"Your Rating:","Đánh giá của bạn:"
"Your Review (submitted on %s):","Đánh giá của bạn (gửi lúc %s):"
"Your review has been accepted for moderation.","Nhận xét của bạn đã được chấp nhận cho việc kiểm duyệt."
