"%s - Discounts and Coupons","%s - Discounts and Coupons"
"%s - Special Products","%s - Special Products"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s has reached a quantity of %s."
"%s\'s Wishlist","%s\'s Wishlist"
"Cannot retrieve the wishlist","Cannot retrieve the wishlist"
"Catalog","Danh mục"
"Category Feeds","Category Feeds"
"Click for price","Nhấn để biết giá"
"Comment: %s<br/>","Comment: %s<br/>"
"Coupons/Discounts","Coupons/Discounts"
"Current Status: %s<br/>","Current Status: %s<br/>"
"Customer Name: %s","Customer Name: %s"
"Customer Order Status Notification","Customer Order Status Notification"
"Details for %s #%s","Details for %s #%s"
"Discount","Discount"
"Discount (%s)","Discount (%s)"
"Enable RSS","Enable RSS"
"Error in processing xml. %s","Error in processing xml. %s"
"From:","Từ:"
"Get Feed","Get Feed"
"Gift Message","Thông báo quà tặng"
"Grand Total","Tổng thanh toán"
"Low Stock Products","Low Stock Products"
"Message:","Thông báo:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","New Orders"
"New Products","New Products"
"New Products from %s","New Products from %s"
"Notified Date: %s<br/>","Notified Date: %s<br/>"
"Order # %s Notification(s)","Order # %s Notification(s)"
"Order #%s created at %s","Order #%s created at %s"
"Pending product review(s)","Pending product review(s)"
"Product: ""%s"" review By: %s","Product: ""%s"" review By: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Products tagged with %s"
"Purchased From: %s","Purchased From: %s"
"RSS","RSS"
"RSS Feeds","RSS Feeds"
"RSS Feeds List","RSS Feeds List"
"Review: %s <br/>","Review: %s <br/>"
"Rss Config","Rss Config"
"Rss Feeds Section","Rss Feeds Section"
"Shipping &amp; Handling","Shipping &amp; Handling"
"Special Products","Special Products"
"Store: %s <br/>","Store: %s <br/>"
"Subtotal","Tổng"
"Summary of review: %s <br/>","Summary of review: %s <br/>"
"Tags Products","Tags Products"
"Tax","Thuế"
"There are no Rss Feeds","There are no Rss Feeds"
"To:","Đến:"
"Top Level Category","Top Level Category"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Yêu thích"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
