"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Giảm giá cho giỏ hàng phụ thuộc vào thuộc tính ""%s"" đã bị tắt."
"%s Coupon(s) generated successfully","%s Mã giảm giá đã được tạo thành công"
"Actions","Thao tác"
"Active","Kích hoạt"
"Add New Rule","Thêm luật mới"
"Alphabetical","Chỉ chữ"
"Alphanumeric","Chỉ số"
"An error occurred while generating coupons. Please review the log and try again.","Có lỗi khi tạo mã giảm giá.Hãy cố thử lần nữa hoặc kiểm tra log."
"Apply","Áp dụng"
"Apply To","Áp dụng cho"
"Apply the rule only if the following conditions are met (leave blank for all products)","Áp dụng giảm giá khi đủ các điều kiện sau(nếu trống là dành cho mọi sản phẩm)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Chỉ áp dụng mã này cho sản phẩm thỏa điều kiện (nếu trống là dành cho mọi sản phẩm)"
"Apply the rule to cart items matching the following conditions","Áp dụng mã này cho những sản phẩm thỏa điều kiện"
"Apply to Shipping Amount","Tính cho cả phí giao hàng"
"Are you sure you want to delete the selected coupon(s)?","Bạn có chắc là muốn xóa mã giảm giá đã chọn?"
"Auto","Tự động"
"Auto Generated Specific Coupon Codes","Tự động tạo mã giảm giá"
"Buy X get Y free (discount amount is Y)","Mua X được miễn phí Y (số lượng giảm giá là Y)"
"By Fixed value","Bởi giá trị cố định"
"By Percentage","Bởi phẩn trăm cố định"
"Can\'t acquire coupon.","Can\'t acquire coupon."
"Cart Attribute","Thuộc tính giỏ hàng"
"Catalog","Danh mục"
"Code Format","Định dạng mã"
"Code Length","Chiều dài mã"
"Code Prefix","Phần đầu của mã"
"Code Suffix","Phần cuối của mã"
"Conditions","Điều kiện"
"Conditions combination","Điều kiện kết hợp"
"Coupon","Mã giảm giá"
"Coupon Code","Mã số mã giảm giá"
"Coupon Qty","SL mã giảm giá"
"Coupon with the same code","Sử dụng cùng một mã giảm giá"
"Coupons Information","Thông tin mã giảm giá"
"Created On","Đã tạo ngày"
"Customer Groups","Nhóm khách hàng"
"Dash Every X Characters","Gạch ngang mỗi X ký tự"
"Date Expire","Ngày hết hạn"
"Date Start","Ngày bắt đầu"
"Default Label","Nhãn mặc định"
"Default Rule Label for All Store Views","Sử dụng nhãn chung cho tất cả cửa hàng"
"Delete Rule","Xóa luật"
"Description","Mô tả"
"Discount Amount","Số lượng giảm"
"Discount Qty Step (Buy X)","Giảm giá bởi mua X"
"Edit Rule","Sửa luật"
"Edit Rule '%s'","Sửa luật '%s'"
"Excluding prefix, suffix and separators.","Gồm đầu, cuối, phân chia."
"FOUND","TÌM THẤY"
"Fixed amount discount","Giảm giá cố định"
"Fixed amount discount for whole cart","Fixed amount discount for whole cart"
"For matching items only","For matching items only"
"For shipment with matching items","For shipment with matching items"
"Free Shipping","Miễn phí giao hàng"
"From Date","Từ ngày"
"General Information","Thông tin chung"
"Generate","Sinh Mã"
"ID","ID"
"If %s %s %s for a subselection of items in cart matching %s of these conditions:","If %s %s %s for a subselection of items in cart matching %s of these conditions:"
"If an item is %s in the cart with %s of these conditions true:","If an item is %s in the cart with %s of these conditions true:"
"If empty no separation.","Nếu rỗng không chia phần."
"If you select and save the rule you will be able to generate multiple coupon codes","If you select and save the rule you will be able to generate multiple coupon codes"
"Inactive","Chưa kích hoạt"
"Item totals are not set for rule.","Item totals are not set for rule."
"Labels","Nhãn"
"Manage Coupons Codes","Quản lý mã giảm giá"
"Maximum Qty Discount is Applied To","Số lượng tối đa được áp dụng"
"NOT FOUND","KHÔNG TÌM THẤY"
"NOT LOGGED IN","CHƯA ĐĂNG NHẬP"
"New Rule","Luật mới"
"No","Không"
"No Coupon","Không có mã giảm giá"
"Not valid data provided","Không có dữ liệu hợp lệ"
"Number of Uses","Số lần sử dụng"
"Numeric","Chỉ số"
"Payment Method","Phương thức thanh toán"
"Percent of product price discount","Giảm giá theo phần trăm"
"Period","Khoảng"
"Price in cart","Giá trong giỏ hàng"
"Priority","Ưu tiên"
"Product attribute combination","Product attribute combination"
"Products subselection","Products subselection"
"Promotions","Promotions"
"Public In RSS Feed","Public In RSS Feed"
"Quantity in cart","Quantity in cart"
"Row total in cart","Row total in cart"
"Rule Information","Thông tin giảm giá"
"Rule Name","Tên luật"
"Rule is not defined","Rule is not defined"
"Sales Discount Amount","Sales Discount Amount"
"Sales Subtotal Amount","Sales Subtotal Amount"
"Sales Total Amount","Sales Total Amount"
"Save Rule","Lưu luật"
"Save and Continue Edit","Lưu và tiếp tục chỉnh sửa"
"Shipping Country","Quốc gia chuyển hàng"
"Shipping Method","Phương thức chuyển hàng"
"Shipping Postcode","Shipping Postcode"
"Shipping Region","Vùng chuyển hàng"
"Shipping State/Province","Shipping State/Province"
"Shopping Cart Price Rule","Giảm giá cho giỏ hàng"
"Shopping Cart Price Rules","Giảm giá cho giỏ hàng"
"Special Price","Giá đặc biệt"
"Specific Coupon","Mã giảm giá đặc biệt"
"Status","Hiện trạng"
"Stop Further Rules Processing","Stop Further Rules Processing"
"Store View Specific Labels","Sử dụng nhãn riêng cho cửa hàng"
"Subtotal","Tổng"
"Subtotal Amount","Tổng"
"The rule has been deleted.","Luật này đã bị xóa."
"The rule has been saved.","Luật này đã được lưu."
"This rule no longer exists.","Luật này không còn tồn tại."
"Times Used","Đã dùng"
"To Date","Đến ngày"
"To Fixed Value","Giá trị cố định"
"To Percentage","Phần trăm cố định"
"Total","Tổng số"
"Total Amount","Tổng số lượng"
"Total Items Quantity","Tổng số lượng"
"Total Weight","Tổng cân nặng"
"Unable to create requested Coupon Qty. Please check settings and try again.","Unable to create requested Coupon Qty. Please check settings and try again."
"Unable to find a rule to delete.","Unable to find a rule to delete."
"Update prices using the following information","Giá sẽ được tính lại dựa vào thông tin sau"
"Update product's %s %s: %s","Update product's %s %s: %s"
"Update the Product","Update the Product"
"Use Auto Generation","Tự động sinh mã"
"Used","Đã dùng"
"Uses per Coupon","Số lần sử dụng"
"Uses per Customer","Số lần sử dụng của 1 khách hàng"
"Wrong rule specified.","Áp dụng luật sai."
"Yes","Đồng ý"
"Total Amount","Tổng số lượng"
"total quantity","tổng số lượng"
