"All Websites","All Websites"
"Apply Discounts To FPT","Apply Discounts To FPT"
"Apply Tax To FPT","Apply Tax To FPT"
"Display Prices In Emails","Hiển thị giá trong Email"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices On Product View Page","Hiển thị giá trên trang của sản phẩm"
"Enable FPT","Enable FPT"
"Excluding FPT","Excluding FPT"
"Excluding FPT, FPT description, final price","Excluding FPT, FPT description, final price"
"Fixed Product Tax","Sản phẩm có thế cố định"
"Fixed Product Taxes","Sản phẩm có thế cố định"
"Include FPT In Subtotal","Include FPT In Subtotal"
"Including FPT and FPT description","Including FPT and FPT description"
"Including FPT and FPT description [incl. FPT VAT]","Including FPT and FPT description [incl. FPT VAT]"
"Including FPT only","Including FPT only"
"Total","Tổng số"
"Total Incl. Tax","Tổng gồm thuế"
"Total incl. tax","Tổng gồm thuế"
