"%s","%s"
"-- Please Select --","-- Please Select --"
"Actions","Thao tác"
"Add Layout Update","Add Layout Update"
"Add New Widget Instance","Add New Widget Instance"
"ALL","TẤT CẢ"
"All Pages","All Pages"
"All Product Types","All Product Types"
"Anchor Categories","Anchor Categories"
"Apply","Áp dụng"
"Assign to Store Views","Assign to Store Views"
"Big Image","Big Image"
"Block Reference","Block Reference"
"CMS","CMS"
"Categories","Danh mục"
"Choose...","Choose..."
"Close","Đóng"
"Continue","Tiếp tục"
"Default Template","Default Template"
"Delete","Xóa"
"Design Package/Theme","Design Package/Theme"
"Export to:","Xuất ra:"
"Frontend Properties","Frontend Properties"
"Generic Pages","Generic Pages"
"Images","Ảnh"
"Insert Widget","Insert Widget"
"Layout Updates","Layout Updates"
"Manage Widget Instances","Manage Widget Instances"
"New Instance","New Instance"
"New Widget Instance","New Widget Instance"
"Next page","Next page"
"Non-Anchor Categories","Non-Anchor Categories"
"Not Selected","Not Selected"
"Open Chooser","Open Chooser"
"Page","Trang"
"Please Select Block Reference First","Please Select Block Reference First"
"Previous page","Previous page"
"Products","Sản phẩm"
"Remove Layout Update","Remove Layout Update"
"Save and Continue Edit","Save and Continue Edit"
"Select All","Chọn hết"
"Select Visible","Chọn hiển thị"
"Settings","Cài đặt"
"Sort Order","Thứ tự"
"Sort Order of widget instances in the same block reference","Sort Order of widget instances in the same block reference"
"Specific %s","Chọn %s"
"Specified Page","Specified Page"
"Template","Mẫu sẵn"
"The information in this tab has been changed.","The information in this tab has been changed."
"The widget instance has been deleted.","The widget instance has been deleted."
"The widget instance has been saved.","The widget instance has been saved."
"This tab contains invalid data. Please solve the problem before saving.","This tab contains invalid data. Please solve the problem before saving."
"Thumbnail","Ảnh đại diện"
"Total %d records found","Tìm thấy %d dữ liệu"
"Type","Kiểu"
"Undefined Design Package or Theme.","Undefined Design Package or Theme."
"Unselect All","Bỏ hết"
"Unselect Visible","Bỏ chọn hiển thị"
"View","Xem"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","Widget ID"
"Widget Instance","Widget Instance"
"Widget Instance Title","Widget Instance Title"
"Widget Options","Widget Options"
"Widget Type","Widget Type"
"Widget Type is not specified","Widget Type is not specified"
"Widget instance is not full complete to create.","Widget instance is not full complete to create."
"Widgets","Widgets"
"Wrong widget instance specified.","Wrong widget instance specified."
"items selected","dữ liệu đã chọn"
"of %s pages","của %s trang"
"per page","mỗi trang"
